Class,EfficientNetB0 F1-score
Tomato___Early_blight,0.5209
Tomato___Target_Spot,0.724
Tomato___Leaf_Mold,0.7654
Tomato___Septoria_leaf_spot,0.7797
Tomato___Spider_mites Two-spotted_spider_mite,0.8363
Tomato___Tomato_mosaic_virus,0.8491
Tomato___Bacterial_spot,0.8772
Tomato___healthy,0.9031
Tomato___Late_blight,0.9043
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9712
